Date,USD/CNY Close,EUR/USD Close,USD/JPY Close,BCHAIN/TOTBC,BCHAIN/MKTCP,BCHAIN/TRFEE,BCHAIN/TRFUS,BCHAIN/NTRAN,BCHAIN/NTRAT,BCHAIN/NTREP,BCHAIN/NADDU,BCHAIN/NTRBL,BCHAIN/TOUTV,BCHAIN/ETRAV,BCHAIN/ETRVU,BCHAIN/TRVOU,BCHAIN/MKPRU,BCHAIN/CPTRV,BCHAIN/CPTRA,BCHAIN/HRATE,BCHAIN/MIREV,BCHAIN/ATRCT,BCHAIN/BLCHS,BCHAIN/AVBLS,BCHAIN/MWTRV,BCHAIN/MWNUS,BCHAIN/MWNTD,BCHAIN/DIFF,gold_price,sp_closing_price,vix_closing_price
2018-03-04,6.3485,1.2324,105.64,16898562.5,191409144345.0,37.96379904,430013.990263,177024.0,302650826.0,171396.0,416966.0,983.4666666669999,789724.2893729999,91342.44597480001,1034631166.2,663520514.0090001,11326.948333299999,2.5048199384400003,146.396238591,26909615.3184,25485633.75,9.95,159338.73180799998,0.976833516667,53201.452805400004,23430781.0,38405.0,3007383866430.0,1316.75,2691.25,19.59
2018-03-05,6.3479,1.2328,106.2,16900412.5,193174785117.0,33.46586197,382520.881949,160231.0,302811057.0,155464.0,383191.0,1082.64189189,623927.249628,92256.73089830001,1054511194.14,542742758.512,11430.1816667,2.0415484524900003,134.35825130799998,22125683.7062,21145836.0833,10.925,159487.154147,1.00285364189,53045.6965782,23446953.0,34657.0,3007383866430.0,1326.3,2720.939941,18.73
2018-03-06,6.3102,1.24,106.2,16902275.0,195991005854.0,44.53138052,516365.404075,201438.0,303012495.0,194866.0,457316.0,1351.93288591,902570.3509729999,136451.974741,1582234331.19,652061173.891,11595.54,1.3975843033000002,109.776003803,24372959.7309,21689457.57,13.55,159638.54716400002,1.0160605167799999,75271.51739310002,23473433.0,47510.0,3233581400370.0,1324.95,2728.1201170000004,18.360001
2018-03-07,6.3255,1.2403,106.04,16904225.0,181943526346.0,37.24003205,400821.85089400003,206016.0,303218511.0,193114.0,453773.0,1320.61538462,939487.073908,118687.704202,1277459300.05,969993576.732,10763.198333299999,1.67434364445,103.822317688,25517998.1076,20998999.9483,6.833333333330001,159798.011844,1.02220948718,101643.069651,23490482.0,45111.0,3290605988760.0,1332.5,2726.800049,17.76
2018-03-08,6.3408,1.2301,106.21,16906187.5,171057785684.0,34.8377064,352489.93394200003,213978.0,303432489.0,194380.0,474916.0,1362.91719745,931240.743175,156169.961153,1580136724.8,1355596866.82,10118.058,1.2789512731200001,94.44512407319999,25681575.0185,19856688.825,7.233333333330001,159958.516384,1.02232191083,79204.05118060001,23515968.0,43277.0,3290605988760.0,1325.4,2738.969971,16.540001
2018-03-09,6.3346,1.2306,106.82,16908212.5,159429423746.0,35.63080068,335966.798384,196422.0,303628911.0,188082.0,439933.0,1212.48148148,1018318.34935,143088.24488399999,1349195039.2,1231498466.04,9429.11166667,1.4401118710699998,98.91925509049999,26499459.5732,19122238.46,10.625,160123.662922,1.01942307407,71151.5472031,23530724.0,44114.0,3290605988760.0,1319.35,2786.570068,14.64
2018-03-10,6.3346,1.2306,106.82,16910037.5,153700037465.0,34.8459414,316724.460172,198180.0,303827091.0,184770.0,487166.0,1357.39726027,1207455.65594,209728.19024,1906277895.43,1735625689.9,9089.27833333,0.886788723669,85.2995126577,23882228.9981,16597022.2367,13.125,160274.22225999998,1.0312283424700002,110591.02434100001,23553821.0,38513.0,3290605988760.0,1319.35,2786.570068,14.64
2018-03-11,6.3346,1.2306,106.82,16911787.5,147910527299.0,40.27322368,352229.694852,156228.0,303983319.0,149613.0,354482.0,1115.91428571,625890.068493,108717.98334600001,950847699.78,870115563.8069999,8746.002,1.64671305389,100.22360393,22900767.5324,15401709.522,13.525,160416.062638,1.01314555714,41054.6505171,23570802.0,32887.0,3290605988760.0,1319.35,2786.570068,14.64
2018-03-12,6.33,1.2337,106.34,16913700.0,165101334801.0,39.61038377,386652.668098,150884.0,304134203.0,145142.0,349040.0,986.169934641,784076.104284,104178.078886,1016923551.98,1205268901.95,9761.39666667,1.8738206776700002,126.291215723,25027267.3747,18756523.695,11.925,160571.074705,1.01315076471,49444.1694735,23584530.0,31746.0,3290605988760.0,1317.25,2783.02002,15.78
2018-03-13,6.3211,1.2395,106.59,16915712.5,155334337759.0,33.46783473,307329.883031,188394.0,304322597.0,176548.0,426764.0,1170.14906832,1019469.3170700001,118997.929751,1092739345.89,1145556674.73,9182.84333333,1.71933061274,99.72611702799999,26335882.6623,18489655.0517,10.825,160723.548615,0.9470429192550001,63539.9728819,23606621.0,43309.0,3290605988760.0,1318.7,2765.310059,16.35
2018-03-14,6.3181,1.2371,106.25,16917687.5,154876353756.0,60.67628875,555473.22062,196140.0,304518737.0,180767.0,419994.0,1241.39240506,1602213.5161700002,154955.232549,1418568667.41,1013634517.58,9154.7,1.3137189724200002,95.01379484360001,25845151.9294,18172079.5,7.3,160864.576404,0.8925809430380001,79769.42308,23624840.0,43019.0,3290605988760.0,1324.95,2749.47998,17.23
2018-03-15,6.3213,1.2301,106.22,16919487.5,137919738140.0,37.04036657,301935.72104000003,191042.0,304709779.0,182145.0,418368.0,1326.68055556,1039106.57556,149873.075758,1221695123.02,1157902505.02,8151.53166667,1.22573074402,78.38429623350001,23555075.1762,14672757.0,11.55,160971.804087,0.7446366875,45672.921009900005,23645174.0,41871.0,3290605988760.0,1323.35,2747.330078,16.59
2018-03-16,6.3346,1.2287,106.04,16921287.5,141430179682.0,36.64624829,306293.801835,206186.0,304915965.0,194745.0,459149.0,1431.84722222,1948801.68888,148147.95039100002,1238238594.04,1315209565.09,8358.12166667,1.2397378724700001,74.4517707402,23555075.1762,15044619.0,12.65,161082.74645799998,0.770433131944,54879.10183480001,23667203.0,44906.0,3290605988760.0,1320.05,2752.01001,15.8
2018-03-17,6.3346,1.2287,106.04,16923237.5,144362019016.0,29.65177072,252941.524253,186979.0,305102944.0,179043.0,457060.0,1198.58333333,1047182.67814,114974.969796,980782712.3,771954415.4189999,8530.402,1.72181108134,90.31616076809999,25517998.1076,16634283.9,10.3,161189.399249,0.683671737179,47246.044136699995,23690016.0,41752.0,3290605988760.0,1320.05,2752.01001,15.8
2018-03-18,6.3346,1.2287,106.04,16925100.0,135293742711.00003,21.51541723,171987.24515899998,154496.0,305257440.0,147916.0,352698.0,1036.88590604,2430655.818,87993.2601196,703389492.23,711706325.7030001,7993.67464364,2.14109059565,97.4795869727,24372959.7309,14888219.0238,11.4,161266.198006,0.515427899329,28910.3757981,23704090.0,33230.0,3290605988760.0,1320.05,2752.01001,15.8
2018-03-19,6.3347,1.2339,106.12,16926987.5,138317439562.0,25.33293823,207005.951447,164401.0,305421841.0,155432.0,382257.0,1088.74834437,1620373.97024,106127.318423,867210361.668,1270330308.34,8171.415,1.80239448868,95.07577060930001,25990711.2964,15423545.8125,10.775,161371.18535,0.6952804238410001,25440.6103207,23719698.0,32383.0,3381698122500.0,1311.7,2712.919922,19.02
2018-03-20,6.3346,1.2254,106.47,16928925.0,142406681398.0,30.78064883,258927.84398,191528.0,305613369.0,182063.0,421647.0,1235.66451613,1333185.15969,133484.385618,1122875101.3,1183523625.16,8412.03333333,1.47453999186,86.4481560258,26679206.9599,16306726.6167,7.61666666667,161476.282279,0.6780447032260001,69918.1127502,23738861.0,45007.0,3462542391190.0,1312.75,2716.939941,18.200001
